レシート番号,支店,性別,年代,曜日,日付,時刻,時間帯,金額,購入商品数,購入商品
R0028,北区,男性,60代以上,土,2024/10/26,17:24,夜,1520,6,歯ブラシ トイレットペーパー 卵 ティッシュ 洗剤 シャンプー
R0029,中央区,男性,10代,水,2024/03/27,20:14,夜,300,2,お茶 カップ麺
R0030,中央区,男性,40代,月,2024/07/01,17:09,夜,190,1,肉まん
R0031,中央区,男性,50代,木,2024/06/20,11:47,昼,290,1,サラダ
R0032,東区,男性,60代以上,日,2024/11/10,10:09,朝,980,4,シャンプー ティッシュ 牛乳 洗剤
R0033,中央区,男性,20代,日,2024/08/04,19:02,夜,500,3,アイス チョコレート おにぎり
R0034,北区,女性,10代,月,2024/06/03,20:39,夜,1270,6,ジュース 洗剤 歯ブラシ ティッシュ アイス シャンプー
R0035,西区,女性,10代,金,2024/04/26,20:19,夜,480,2,ポテトチップス ガム
R0036,東区,男性,40代,木,2024/02/08,22:12,夜,1170,4,卵 歯ブラシ トイレットペーパー 冷凍食品
R0037,北区,男性,50代,火,2024/06/25,21:28,夜,1010,3,フルーツ サラダ サンドイッチ
R0038,中央区,男性,60代以上,火,2024/10/08,19:59,夜,520,3,お茶 パン ヨーグルト
R0039,北区,男性,50代,金,2024/08/09,14:42,昼,590,3,歯ブラシ お茶 コーヒー
R0040,中央区,女性,40代,木,2024/10/17,08:03,朝,430,2,おにぎり サラダ
R0041,東区,女性,30代,日,2024/06/09,11:53,昼,600,3,おにぎり サラダ ジュース
R0042,西区,女性,40代,木,2024/12/12,12:17,昼,140,1,おにぎり
R0043,北区,男性,40代,木,2024/05/09,06:05,朝,820,3,ヨーグルト 卵 ティッシュ
R0044,中央区,男性,60代以上,日,2024/03/31,21:26,夜,290,2,ポテトチップス カップ麺
R0045,中央区,女性,20代,日,2024/09/22,09:16,朝,1170,3,弁当 サンドイッチ パン
R0046,東区,女性,10代,金,2024/11/29,19:23,夜,750,3,チョコレート ジュース ガム
R0047,中央区,女性,30代,土,2024/12/21,18:30,夜,450,3,肉まん ポテトチップス 洗剤
R0048,北区,男性,60代以上,日,2024/06/23,19:16,夜,590,2,おにぎり サンドイッチ
R0049,中央区,女性,20代,火,2024/03/26,13:14,昼,860,3,サラダ お茶 サンドイッチ
R0050,東区,男性,30代,日,2024/07/14,10:17,朝,800,3,サラダ チョコレート 冷凍食品
R0051,中央区,男性,40代,木,2024/12/12,12:56,昼,730,4,お茶 ヨーグルト 野菜ジュース 卵
R0052,東区,男性,50代,土,2024/08/31,11:36,昼,990,4,栄養ドリンク サンドイッチ 卵 お茶
R0053,中央区,男性,60代以上,金,2024/05/24,07:28,朝,170,1,コーヒー
R0054,東区,女性,50代,日,2024/08/18,06:17,朝,1360,5,サンドイッチ サラダ アイス おにぎり 牛乳
R0055,北区,男性,10代,月,2024/09/16,11:11,昼,120,1,お茶
R0056,東区,女性,60代以上,日,2024/11/10,21:42,夜,930,4,ポテトチップス 冷凍食品 チョコレート 炭酸飲料
R0057,西区,男性,50代,火,2024/02/20,20:36,夜,170,1,ジュース
R0058,北区,女性,50代,月,2024/12/02,08:29,朝,990,4,卵 フルーツ ヨーグルト サラダ
R0059,東区,男性,30代,水,2024/01/31,09:56,朝,170,1,ジュース
R0060,中央区,女性,60代以上,木,2024/08/08,11:32,昼,350,2,おにぎり パン
R0061,中央区,男性,60代以上,水,2024/12/25,13:54,昼,170,1,ジュース
R0062,西区,女性,20代,土,2024/07/13,11:32,昼,820,2,サンドイッチ ガム
R0063,西区,男性,10代,水,2024/10/23,13:34,昼,350,1,キャンディ
R0064,北区,男性,10代,日,2024/02/04,19:15,夜,630,2,卵 ティッシュ
R0065,西区,男性,20代,土,2024/12/28,08:06,朝,240,1,卵
R0066,東区,女性,60代以上,土,2024/01/27,12:09,昼,1580,5,おにぎり フルーツ ガム キャンディ サンドイッチ
R0067,東区,男性,40代,木,2024/03/14,07:42,朝,140,1,おにぎり
R0068,東区,女性,10代,日,2024/02/11,19:36,夜,450,3,ポテトチップス 肉まん アイス
R0069,中央区,男性,50代,日,2024/11/17,12:16,昼,170,1,ジュース
R0070,西区,男性,50代,金,2024/08/30,14:29,昼,830,3,炭酸飲料 コーヒー キャンディ
R0071,西区,女性,50代,水,2024/04/10,12:24,昼,300,2,カップ麺 お茶
R0072,西区,女性,10代,金,2024/07/19,13:32,昼,820,4,チョコレート ポテトチップス キャンディ アイス
R0073,西区,男性,20代,水,2024/09/18,21:51,夜,1000,4,ジュース カップ麺 おにぎり 弁当
R0074,中央区,男性,60代以上,水,2024/12/04,20:16,夜,880,4,卵 フルーツ 肉まん 野菜ジュース
R0075,中央区,女性,60代以上,土,2024/08/24,13:55,昼,520,2,キャンディ コーヒー
R0076,東区,男性,40代,月,2024/06/10,18:47,夜,380,2,ジュース パン
R0077,西区,男性,20代,水,2024/06/12,17:11,夜,810,3,炭酸飲料 キャンディ アイス
R0078,北区,女性,50代,水,2024/06/26,18:39,夜,1260,5,牛乳 トイレットペーパー ティッシュ 缶コーヒー シャンプー
R0079,東区,男性,40代,木,2024/05/23,08:22,朝,430,2,卵 ヨーグルト
R0080,西区,男性,10代,日,2024/12/08,13:46,昼,1000,3,弁当 炭酸飲料 カップ麺
R0081,西区,男性,40代,日,2024/03/03,11:12,昼,610,3,キャンディ アイス ポテトチップス
R0082,西区,女性,40代,日,2024/09/29,21:20,夜,690,3,ポテトチップス ガム チョコレート
R0083,西区,男性,30代,金,2024/03/22,19:59,夜,560,3,野菜ジュース フルーツ ポテトチップス
R0084,西区,女性,60代以上,土,2024/03/02,14:40,昼,960,3,トイレットペーパー 歯ブラシ 牛乳
R0085,西区,女性,40代,土,2024/09/14,13:33,昼,450,1,サンドイッチ
R0086,中央区,男性,10代,金,2024/11/15,14:53,昼,470,2,カップ麺 サラダ
R0087,西区,女性,30代,月,2024/09/16,12:46,昼,730,3,チョコレート ガム アイス
R0088,東区,男性,20代,土,2024/11/30,12:46,昼,360,2,野菜ジュース 栄養ドリンク
R0089,東区,男性,60代以上,水,2024/04/10,18:50,夜,590,3,肉まん 缶コーヒー 冷凍食品
R0090,中央区,女性,20代,金,2024/03/15,12:18,昼,1080,3,牛乳 卵 弁当
R0091,中央区,女性,10代,月,2024/02/12,12:59,昼,170,1,ジュース
R0092,北区,女性,40代,火,2024/05/07,10:29,朝,590,3,おにぎり パン 卵
R0093,北区,男性,40代,金,2024/04/26,11:45,昼,1040,4,サラダ フルーツ 歯ブラシ 栄養ドリンク
R0094,西区,男性,20代,金,2024/02/09,11:56,昼,810,3,炭酸飲料 キャンディ アイス
R0095,西区,女性,10代,月,2024/12/09,14:13,昼,1200,5,サンドイッチ 肉まん サラダ アイス お茶
R0096,中央区,女性,20代,月,2024/11/25,17:25,夜,310,1,炭酸飲料
R0097,西区,男性,30代,月,2024/11/25,20:24,夜,920,4,ポテトチップス 炭酸飲料 アイス キャンディ
R0098,北区,女性,10代,土,2024/06/08,07:18,朝,570,2,牛乳 卵
R0099,西区,男性,50代,土,2024/02/17,22:14,夜,770,4,カップ麺 缶コーヒー 肉まん 冷凍食品
R0100,西区,男性,10代,土,2024/05/25,09:18,朝,1030,4,野菜ジュース 牛乳 アイス ガム
R0101,中央区,男性,10代,水,2024/09/11,13:21,昼,360,2,お茶 卵
R0102,西区,男性,20代,月,2024/09/09,19:38,夜,210,1,チョコレート
R0103,西区,男性,20代,土,2024/11/30,06:49,朝,570,3,アイス ポテトチップス 炭酸飲料
R0104,北区,男性,30代,金,2024/08/02,09:46,朝,660,2,サンドイッチ パン
R0105,北区,女性,10代,火,2024/06/18,10:02,朝,210,1,パン
R0106,中央区,女性,40代,木,2024/02/15,21:08,夜,1170,5,フルーツ ヨーグルト 卵 カップ麺 サラダ
R0107,中央区,男性,10代,日,2024/10/13,11:58,昼,800,5,おにぎり カップ麺 肉まん お茶 ジュース
R0108,東区,女性,60代以上,木,2024/08/15,06:46,朝,900,3,パン サンドイッチ 卵
R0109,中央区,男性,60代以上,木,2024/11/21,13:17,昼,170,1,ジュース
R0110,中央区,男性,50代,木,2024/10/24,06:48,朝,260,2,お茶 おにぎり
R0111,西区,女性,50代,月,2024/11/04,06:36,朝,520,3,おにぎり パン コーヒー
R0112,中央区,男性,40代,月,2024/08/05,17:31,夜,870,4,キャンディ アイス カップ麺 肉まん
R0113,中央区,男性,30代,月,2024/05/13,19:26,夜,140,1,おにぎり
R0114,中央区,女性,50代,木,2024/08/08,11:02,昼,570,2,お茶 サンドイッチ
R0115,北区,男性,20代,土,2024/08/24,09:58,朝,1180,5,サラダ シャンプー 牛乳 洗剤 歯ブラシ
R0116,西区,男性,20代,日,2024/03/24,13:01,昼,690,2,卵 サンドイッチ
R0117,中央区,男性,40代,水,2024/01/24,20:54,夜,410,2,炭酸飲料 缶コーヒー
R0118,西区,女性,20代,木,2024/05/02,06:50,朝,550,3,卵 缶コーヒー パン
R0119,北区,男性,40代,火,2024/06/11,12:18,昼,730,3,サラダ ジュース フルーツ
R0120,北区,男性,10代,土,2024/10/26,19:26,夜,1020,5,冷凍食品 ポテトチップス カップ麺 トイレットペーパー 缶コーヒー
R0121,北区,男性,20代,木,2024/03/21,13:14,昼,930,4,野菜ジュース フルーツ ヨーグルト サラダ
R0122,東区,女性,30代,水,2024/11/20,06:25,朝,760,3,卵 キャンディ ジュース
R0123,中央区,男性,50代,土,2024/04/20,21:25,夜,880,4,缶コーヒー 洗剤 卵 ティッシュ
R0124,東区,男性,20代,金,2024/11/08,19:00,夜,310,1,炭酸飲料
R0125,西区,男性,50代,水,2024/07/31,11:16,昼,800,3,コーヒー サンドイッチ カップ麺
R0126,中央区,女性,50代,土,2024/08/17,14:13,昼,640,3,コーヒー 栄養ドリンク サラダ
R0127,西区,女性,30代,月,2024/12/23,09:48,朝,400,2,パン ヨーグルト
R0128,東区,女性,60代以上,月,2024/03/11,09:09,朝,750,3,カップ麺 卵 トイレットペーパー
R0129,中央区,女性,20代,火,2024/08/20,19:45,夜,440,3,カップ麺 おにぎり お茶
R0130,東区,男性,40代,日,2024/12/08,19:31,夜,1170,4,トイレットペーパー ティッシュ 洗剤 冷凍食品
R0131,中央区,男性,60代以上,金,2024/04/05,06:34,朝,240,1,卵
R0132,西区,女性,20代,火,2024/03/12,17:57,夜,350,2,チョコレート おにぎり
R0133,東区,女性,20代,火,2024/04/16,14:37,昼,350,1,キャンディ
R0134,中央区,女性,60代以上,土,2024/08/24,09:05,朝,1020,4,卵 トイレットペーパー 歯ブラシ 洗剤
R0135,中央区,女性,30代,木,2024/06/20,14:17,昼,450,1,サンドイッチ
R0136,北区,男性,40代,火,2024/05/28,09:59,朝,170,1,コーヒー
R0137,中央区,女性,60代以上,金,2024/08/23,10:28,朝,740,3,卵 ジュース 牛乳
R0138,中央区,女性,30代,月,2024/10/28,07:36,朝,550,3,卵 コーヒー おにぎり
R0139,中央区,男性,10代,水,2024/04/17,18:59,夜,590,2,おにぎり サンドイッチ
R0140,西区,女性,20代,月,2024/07/08,21:32,夜,140,1,おにぎり
R0141,北区,女性,60代以上,日,2024/06/30,12:07,昼,1740,6,ティッシュ 牛乳 卵 トイレットペーパー 歯ブラシ 洗剤
R0142,北区,男性,30代,火,2024/01/09,11:02,昼,190,1,肉まん
R0143,西区,男性,40代,日,2024/07/28,21:02,夜,1020,5,カップ麺 チョコレート ガム ポテトチップス アイス
R0144,西区,男性,20代,木,2024/12/26,19:06,夜,320,2,パン ポテトチップス
R0145,北区,男性,60代以上,月,2024/10/21,08:05,朝,690,2,歯ブラシ ティッシュ
R0146,東区,女性,60代以上,火,2024/01/30,12:52,昼,430,2,おにぎり サラダ
R0147,北区,男性,50代,月,2024/02/26,18:36,夜,260,2,ポテトチップス 洗剤
R0148,中央区,女性,60代以上,金,2024/07/12,13:24,昼,780,4,ジュース ヨーグルト フルーツ 洗剤
R0149,西区,女性,50代,日,2024/06/09,17:46,夜,620,3,炭酸飲料 チョコレート 缶コーヒー
R0150,北区,男性,60代以上,月,2024/09/02,13:57,昼,490,3,野菜ジュース ヨーグルト お茶
R0151,西区,男性,40代,火,2024/12/17,14:08,昼,1080,3,弁当 お茶 サンドイッチ
R0152,北区,男性,10代,日,2024/10/20,14:12,昼,1100,3,弁当 サンドイッチ おにぎり
R0153,西区,女性,20代,金,2024/11/29,12:24,昼,770,3,ポテトチップス 炭酸飲料 キャンディ
R0154,西区,女性,20代,月,2024/01/22,20:19,夜,320,2,アイス ジュース
R0155,中央区,女性,30代,日,2024/02/25,19:38,夜,560,3,歯ブラシ シャンプー アイス
R0156,北区,男性,10代,金,2024/11/29,22:02,夜,630,2,カップ麺 サンドイッチ
R0157,東区,女性,50代,金,2024/11/08,19:22,夜,420,2,炭酸飲料 ポテトチップス
R0158,西区,男性,50代,月,2024/05/20,21:51,夜,940,4,シャンプー トイレットペーパー ティッシュ ポテトチップス
R0159,北区,女性,30代,日,2024/06/02,13:50,昼,570,3,フルーツ 野菜ジュース お茶
R0160,中央区,男性,30代,金,2024/06/21,06:52,朝,1100,5,ポテトチップス ティッシュ パン 卵 洗剤
R0161,西区,女性,50代,水,2024/08/28,17:41,夜,520,2,アイス ガム
R0162,中央区,女性,20代,水,2024/06/05,07:18,朝,260,2,シャンプー 洗剤
R0163,西区,女性,40代,日,2024/05/26,08:31,朝,280,2,ポテトチップス ジュース
R0164,中央区,女性,50代,水,2024/05/29,18:22,夜,520,3,ポテトチップス 缶コーヒー 炭酸飲料
R0165,中央区,女性,20代,土,2024/07/13,12:01,昼,1030,4,サンドイッチ サラダ お茶 ジュース
R0166,東区,男性,30代,金,2024/12/20,19:05,夜,520,3,缶コーヒー 炭酸飲料 ポテトチップス
R0167,東区,女性,40代,水,2024/08/14,21:37,夜,280,2,缶コーヒー カップ麺
R0168,西区,男性,10代,水,2024/11/27,22:14,夜,790,4,チョコレート ジュース 缶コーヒー 炭酸飲料
R0169,東区,男性,30代,火,2024/03/26,09:48,朝,790,3,コーヒー サンドイッチ ジュース
R0170,東区,男性,10代,金,2024/02/09,06:13,朝,520,2,牛乳 ヨーグルト
R0171,東区,女性,10代,日,2024/01/28,18:08,夜,930,3,チョコレート ガム キャンディ
R0172,中央区,女性,60代以上,日,2024/08/04,14:37,昼,430,3,おにぎり お茶 コーヒー
R0173,北区,男性,40代,土,2024/03/09,07:28,朝,990,3,牛乳 サンドイッチ パン
R0174,西区,男性,20代,水,2024/09/25,21:41,夜,390,2,チョコレート カップ麺
R0175,東区,女性,50代,火,2024/12/17,21:13,夜,380,3,アイス お茶 ポテトチップス
R0176,中央区,女性,20代,木,2024/08/29,21:18,夜,890,3,ガム チョコレート 炭酸飲料
R0177,中央区,男性,20代,金,2024/02/16,17:56,夜,140,1,おにぎり
R0178,北区,男性,50代,木,2024/09/05,14:17,昼,770,3,フルーツ サラダ チョコレート
R0179,北区,男性,60代以上,木,2024/11/21,09:17,朝,170,1,ジュース
R0180,東区,女性,60代以上,木,2024/08/08,18:04,夜,310,1,炭酸飲料
R0181,北区,女性,10代,火,2024/01/23,17:43,夜,290,2,缶コーヒー 肉まん
R0182,東区,女性,20代,土,2024/08/10,13:01,昼,920,4,ティッシュ カップ麺 卵 シャンプー
R0183,北区,女性,30代,金,2024/08/02,14:58,昼,310,2,おにぎり ジュース
R0184,北区,女性,20代,日,2024/05/05,13:58,昼,1590,6,牛乳 ヨーグルト 洗剤 歯ブラシ サラダ トイレットペーパー
R0185,西区,男性,60代以上,土,2024/11/30,06:48,朝,380,2,おにぎり 卵
R0186,西区,男性,40代,水,2024/01/03,18:30,夜,610,2,炭酸飲料 冷凍食品
R0187,中央区,女性,50代,金,2024/11/08,06:48,朝,320,2,野菜ジュース おにぎり
R0188,北区,女性,40代,土,2024/10/26,07:16,朝,240,1,卵
R0189,北区,男性,30代,月,2024/08/05,14:40,昼,600,3,おにぎり ジュース サラダ
R0190,東区,女性,50代,月,2024/06/24,20:06,夜,440,3,カップ麺 アイス ポテトチップス
R0191,西区,女性,50代,水,2024/09/18,11:36,昼,140,1,おにぎり
R0192,中央区,男性,20代,火,2024/08/20,06:57,朝,450,1,サンドイッチ
R0193,西区,女性,40代,月,2024/08/26,18:24,夜,600,3,肉まん 炭酸飲料 缶コーヒー
R0194,中央区,女性,20代,日,2024/11/24,14:11,昼,740,3,野菜ジュース サラダ フルーツ
R0195,東区,男性,50代,金,2024/12/13,12:28,昼,620,3,お茶 牛乳 ジュース
R0196,東区,男性,30代,火,2024/10/15,14:55,昼,450,1,サンドイッチ
R0197,中央区,女性,20代,水,2024/07/10,09:29,朝,680,2,ジュース 弁当
R0198,東区,男性,20代,木,2024/09/19,20:17,夜,430,3,カップ麺 おにぎり ポテトチップス
R0199,東区,女性,40代,木,2024/07/18,20:06,夜,840,4,チョコレート ポテトチップス ジュース キャンディ
R0200,西区,男性,50代,日,2024/03/03,18:49,夜,710,4,ポテトチップス 炭酸飲料 缶コーヒー 肉まん
R0201,中央区,女性,30代,火,2024/07/02,08:12,朝,660,2,サンドイッチ パン
R0202,中央区,女性,20代,水,2024/10/16,20:19,夜,440,2,ポテトチップス トイレットペーパー
R0203,中央区,女性,10代,木,2024/04/25,12:19,昼,810,3,お茶 野菜ジュース 弁当
R0204,東区,女性,40代,火,2024/07/02,13:47,昼,880,3,サンドイッチ サラダ おにぎり
R0205,北区,男性,30代,金,2024/10/04,07:50,朝,290,2,お茶 コーヒー
R0206,北区,男性,40代,火,2024/04/16,11:15,昼,520,2,ヨーグルト 牛乳
R0207,西区,女性,50代,金,2024/11/29,17:44,夜,300,1,冷凍食品
R0208,北区,男性,50代,火,2024/10/29,21:31,夜,970,3,炭酸飲料 牛乳 トイレットペーパー
R0209,北区,男性,60代以上,金,2024/08/09,21:24,夜,1120,5,卵 洗剤 シャンプー トイレットペーパー サラダ
R0210,北区,男性,20代,水,2024/05/22,19:44,夜,810,3,肉まん サラダ 牛乳
R0211,中央区,女性,10代,水,2024/11/13,21:38,夜,480,2,ポテトチップス ガム
R0212,中央区,男性,60代以上,日,2024/01/14,19:34,夜,1240,5,ティッシュ パン 肉まん 歯ブラシ 洗剤
R0213,北区,男性,40代,土,2024/11/30,09:02,朝,1020,3,歯ブラシ ティッシュ トイレットペーパー
R0214,東区,男性,40代,日,2024/11/10,12:49,昼,690,3,パン ヨーグルト サラダ
R0215,北区,男性,50代,火,2024/08/06,17:39,夜,1280,5,牛乳 歯ブラシ 洗剤 ティッシュ シャンプー
R0216,西区,女性,40代,金,2024/02/16,19:45,夜,380,2,チョコレート ジュース
R0217,西区,女性,50代,木,2024/06/13,11:25,昼,320,2,カップ麺 おにぎり
R0218,北区,女性,40代,水,2024/12/04,11:40,昼,510,2,卵 フルーツ
R0219,東区,男性,30代,金,2024/11/08,11:31,昼,580,3,冷凍食品 缶コーヒー カップ麺
R0220,東区,女性,20代,土,2024/08/17,11:33,昼,840,2,牛乳 弁当
R0221,西区,男性,60代以上,金,2024/06/07,07:05,朝,1220,4,おにぎり サンドイッチ 卵 ティッシュ
R0222,中央区,男性,10代,火,2024/09/17,13:01,昼,820,3,ヨーグルト サンドイッチ 栄養ドリンク
R0223,西区,男性,60代以上,金,2024/01/19,17:10,夜,460,2,キャンディ ポテトチップス
R0224,西区,女性,10代,日,2024/04/28,18:16,夜,720,3,キャンディ 肉まん カップ麺
R0225,西区,女性,10代,日,2024/12/08,11:08,昼,800,3,コーヒー お茶 弁当
R0226,西区,女性,40代,月,2024/08/12,18:09,夜,710,3,チョコレート アイス キャンディ
R0227,北区,男性,30代,火,2024/06/25,13:42,昼,870,3,洗剤 トイレットペーパー ティッシュ
R0228,東区,女性,10代,月,2024/04/08,07:33,朝,450,1,サンドイッチ
R0229,中央区,女性,40代,月,2024/01/29,08:04,朝,310,2,お茶 肉まん
R0230,東区,男性,50代,日,2024/10/27,20:19,夜,820,4,ポテトチップス ガム アイス 肉まん
R0231,中央区,女性,10代,水,2024/06/05,06:40,朝,190,1,ヨーグルト
R0232,北区,女性,20代,月,2024/08/26,07:44,朝,810,3,ヨーグルト コーヒー サンドイッチ
R0233,北区,女性,20代,木,2024/07/18,06:47,朝,330,1,牛乳
R0234,西区,女性,50代,土,2024/05/25,19:09,夜,210,1,チョコレート
R0235,中央区,男性,20代,火,2024/10/01,17:17,夜,740,4,アイス 冷凍食品 シャンプー カップ麺
R0236,東区,女性,30代,月,2024/03/18,11:41,昼,630,2,弁当 お茶
R0237,中央区,女性,20代,土,2024/11/09,18:09,夜,300,2,カップ麺 お茶
R0238,西区,男性,50代,土,2024/06/08,14:45,昼,650,2,おにぎり 弁当
R0239,東区,男性,20代,土,2024/09/14,17:32,夜,510,2,冷凍食品 チョコレート
R0240,中央区,女性,20代,水,2024/11/13,10:20,朝,280,2,ポテトチップス コーヒー
R0241,北区,男性,10代,水,2024/08/07,09:59,朝,500,2,牛乳 ジュース
R0242,東区,男性,10代,火,2024/03/12,06:13,朝,700,3,カップ麺 牛乳 肉まん
R0243,西区,女性,60代以上,月,2024/06/10,09:36,朝,240,1,卵
R0244,北区,女性,50代,月,2024/03/25,06:30,朝,190,1,ヨーグルト
R0245,中央区,男性,20代,月,2024/01/08,20:30,夜,440,2,洗剤 サラダ
R0246,中央区,男性,30代,土,2024/10/19,13:43,昼,480,3,カップ麺 野菜ジュース お茶
R0247,中央区,女性,10代,土,2024/04/27,18:51,夜,360,2,肉まん ジュース
R0248,中央区,女性,10代,火,2024/01/02,18:37,夜,720,3,ガム ジュース カップ麺
R0249,西区,男性,20代,木,2024/09/12,11:17,昼,520,2,ガム アイス
R0250,中央区,女性,40代,火,2024/04/16,18:17,夜,440,2,ポテトチップス 牛乳
R0251,中央区,女性,20代,水,2024/08/14,10:27,朝,380,2,おにぎり 卵
R0252,西区,女性,20代,金,2024/11/22,08:12,朝,350,2,野菜ジュース コーヒー
R0253,西区,女性,50代,木,2024/10/24,13:23,昼,660,3,牛乳 ヨーグルト おにぎり
R0254,北区,女性,60代以上,金,2024/12/20,20:10,夜,550,2,炭酸飲料 卵
R0255,中央区,女性,30代,月,2024/12/09,10:27,朝,330,1,牛乳
R0256,東区,男性,30代,木,2024/12/19,22:28,夜,540,4,洗剤 カップ麺 缶コーヒー ポテトチップス
R0257,東区,女性,50代,月,2024/02/12,09:47,朝,460,3,洗剤 お茶 ヨーグルト
R0258,中央区,女性,50代,木,2024/12/19,06:41,朝,380,2,卵 おにぎり
R0259,中央区,男性,20代,木,2024/02/29,13:25,昼,310,2,おにぎり ジュース
R0260,北区,女性,30代,木,2024/07/18,08:19,朝,190,1,ヨーグルト
R0261,北区,女性,20代,土,2024/03/23,13:06,昼,890,4,トイレットペーパー シャンプー 歯ブラシ 洗剤
R0262,東区,男性,50代,木,2024/08/08,09:57,朝,1410,5,洗剤 ティッシュ 卵 トイレットペーパー 歯ブラシ
R0263,西区,女性,30代,金,2024/05/31,19:45,夜,660,2,炭酸飲料 キャンディ
R0264,中央区,男性,40代,土,2024/11/23,20:52,夜,1300,5,サラダ アイス 弁当 コーヒー カップ麺
R0265,中央区,男性,40代,火,2024/12/10,18:27,夜,760,3,サンドイッチ おにぎり ジュース
R0266,北区,女性,10代,土,2024/11/09,13:57,昼,910,3,サンドイッチ サラダ コーヒー
R0267,西区,女性,10代,水,2024/06/12,10:13,朝,470,3,アイス ポテトチップス チョコレート
R0268,東区,女性,60代以上,水,2024/07/10,19:28,夜,110,1,ポテトチップス
R0269,東区,男性,40代,金,2024/10/04,09:55,朝,620,2,サラダ トイレットペーパー
R0270,中央区,女性,10代,日,2024/09/01,13:17,昼,360,2,肉まん ジュース
R0271,中央区,女性,40代,金,2024/09/06,12:51,昼,1210,4,卵 サンドイッチ 肉まん 牛乳
R0272,西区,女性,60代以上,土,2024/07/27,21:29,夜,1170,4,トイレットペーパー 歯ブラシ 洗剤 ティッシュ
R0273,中央区,女性,10代,土,2024/05/18,17:28,夜,1770,6,トイレットペーパー 牛乳 シャンプー 炭酸飲料 ティッシュ 歯ブラシ
R0274,北区,男性,20代,火,2024/06/25,09:32,朝,1380,5,カップ麺 栄養ドリンク 卵 牛乳 サンドイッチ
R0275,東区,男性,10代,月,2024/06/03,12:52,昼,1100,3,サンドイッチ おにぎり 弁当
R0276,東区,女性,20代,木,2024/10/03,12:23,昼,750,3,ポテトチップス トイレットペーパー 炭酸飲料
R0277,西区,男性,10代,日,2024/01/21,13:13,昼,680,2,ジュース 弁当
R0278,中央区,女性,10代,木,2024/09/12,12:57,昼,880,4,お茶 コーヒー おにぎり サンドイッチ
R0279,東区,男性,10代,金,2024/07/05,20:28,夜,690,3,チョコレート ジュース 炭酸飲料
R0280,北区,女性,10代,水,2024/06/05,14:18,昼,330,1,牛乳
R0281,中央区,男性,10代,金,2024/07/05,14:20,昼,190,1,ヨーグルト
R0282,北区,女性,20代,火,2024/02/20,11:06,昼,1140,3,弁当 カップ麺 サンドイッチ
R0283,西区,女性,10代,金,2024/03/15,18:41,夜,480,3,カップ麺 ポテトチップス 肉まん
R0284,中央区,女性,20代,日,2024/06/30,13:32,昼,280,2,ジュース ポテトチップス
